Team,Breaks,Schedule Type,League
Orlando Magic,39,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Philadelphia 76ers,40,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Toronto Raptors,41,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Boston Celtics,41,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Chicago Bulls,37,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Memphis Grizzlies,43,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Minnesota Timberwolves,40,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Denver Nuggets,41,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Portland Trail Blazers,46,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Phoenix Suns,43,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Miami Heat,42,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Milwaukee Bucks,43,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Charlotte Hornets,44,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Detroit Pistons,37,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Washington Wizards,43,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
New York Knicks,41,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
San Antonio Spurs,45,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Utah Jazz,41,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Sacramento Kings,41,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Los Angeles Clippers,46,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
New Orleans Pelicans,43,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Atlanta Hawks,39,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Oklahoma City Thunder,48,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Dallas Mavericks,40,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Houston Rockets,39,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Golden State Warriors,47,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
all,1253,basic - high - 25_more_games - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Brooklyn Nets,39,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Los Angeles Lakers,47,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Cleveland Cavaliers,43,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Indiana Pacers,35,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Orlando Magic,39,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Philadelphia 76ers,40,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Toronto Raptors,41,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Boston Celtics,43,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Chicago Bulls,39,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Memphis Grizzlies,43,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Minnesota Timberwolves,40,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Denver Nuggets,41,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Portland Trail Blazers,46,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Phoenix Suns,41,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Miami Heat,42,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Milwaukee Bucks,44,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Charlotte Hornets,42,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Detroit Pistons,35,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Washington Wizards,42,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
New York Knicks,41,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
San Antonio Spurs,45,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Utah Jazz,41,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Sacramento Kings,40,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Los Angeles Clippers,46,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
New Orleans Pelicans,43,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Atlanta Hawks,39,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Oklahoma City Thunder,46,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Dallas Mavericks,40,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Houston Rockets,40,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Golden State Warriors,47,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
all,1250,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Brooklyn Nets,38,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Los Angeles Lakers,47,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Cleveland Cavaliers,43,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Indiana Pacers,35,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Orlando Magic,39,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Philadelphia 76ers,40,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Toronto Raptors,40,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Boston Celtics,43,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Chicago Bulls,39,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Memphis Grizzlies,43,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Minnesota Timberwolves,40,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Denver Nuggets,39,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Portland Trail Blazers,46,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Phoenix Suns,41,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Miami Heat,42,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Milwaukee Bucks,44,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Charlotte Hornets,42,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Detroit Pistons,35,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Washington Wizards,41,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
New York Knicks,41,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
San Antonio Spurs,45,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Utah Jazz,45,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Sacramento Kings,41,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Los Angeles Clippers,46,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
New Orleans Pelicans,44,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Atlanta Hawks,39,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Oklahoma City Thunder,46,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Dallas Mavericks,40,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Houston Rockets,39,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Golden State Warriors,47,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
all,1250,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Brooklyn Nets,39,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Los Angeles Lakers,47,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Cleveland Cavaliers,43,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Indiana Pacers,35,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Orlando Magic,39,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Philadelphia 76ers,40,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Toronto Raptors,41,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Boston Celtics,41,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Chicago Bulls,37,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Memphis Grizzlies,43,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Minnesota Timberwolves,40,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Denver Nuggets,39,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Portland Trail Blazers,46,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Phoenix Suns,43,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Miami Heat,42,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Milwaukee Bucks,44,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Charlotte Hornets,44,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Detroit Pistons,37,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Washington Wizards,43,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
New York Knicks,41,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
San Antonio Spurs,45,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Utah Jazz,42,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Sacramento Kings,41,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Los Angeles Clippers,46,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
New Orleans Pelicans,43,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Atlanta Hawks,39,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Oklahoma City Thunder,46,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Dallas Mavericks,41,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Houston Rockets,40,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Golden State Warriors,47,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
all,1254,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 5 - False,NBA
Brooklyn Nets,36,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Los Angeles Lakers,47,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Cleveland Cavaliers,44,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Indiana Pacers,35,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Orlando Magic,39,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Philadelphia 76ers,40,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Toronto Raptors,40,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Boston Celtics,41,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Chicago Bulls,37,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Memphis Grizzlies,43,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Minnesota Timberwolves,40,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Denver Nuggets,39,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Portland Trail Blazers,45,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Phoenix Suns,45,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Miami Heat,42,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Milwaukee Bucks,44,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Charlotte Hornets,44,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Detroit Pistons,35,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Washington Wizards,44,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
New York Knicks,41,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
San Antonio Spurs,45,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Utah Jazz,43,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Sacramento Kings,41,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Los Angeles Clippers,46,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
New Orleans Pelicans,44,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Atlanta Hawks,39,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Oklahoma City Thunder,46,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Dallas Mavericks,40,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Houston Rockets,40,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Golden State Warriors,47,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
all,1252,basic - high - 25_more_games - post_all_star - 3 - 2 - 10 - 1 - 10 - False,NBA
Brooklyn Nets,40,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Los Angeles Lakers,47,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Cleveland Cavaliers,43,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Indiana Pacers,36,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Orlando Magic,39,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Philadelphia 76ers,40,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Toronto Raptors,41,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Boston Celtics,43,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Chicago Bulls,37,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Memphis Grizzlies,44,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Minnesota Timberwolves,40,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Denver Nuggets,41,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Portland Trail Blazers,47,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Phoenix Suns,43,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Miami Heat,42,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Milwaukee Bucks,45,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Charlotte Hornets,41,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Detroit Pistons,37,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Washington Wizards,43,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
New York Knicks,41,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
San Antonio Spurs,45,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Utah Jazz,42,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Sacramento Kings,42,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Los Angeles Clippers,46,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
New Orleans Pelicans,44,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Atlanta Hawks,39,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Oklahoma City Thunder,47,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Dallas Mavericks,40,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Houston Rockets,41,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Golden State Warriors,47,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
all,1263,min_date - high - basic - post_all_star - 0 - 2 - 10 - 0 - 5 - False,NBA
Brooklyn Nets,40,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Los Angeles Lakers,47,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Cleveland Cavaliers,43,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Indiana Pacers,36,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Orlando Magic,39,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Philadelphia 76ers,40,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Toronto Raptors,41,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Boston Celtics,43,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Chicago Bulls,39,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Memphis Grizzlies,44,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Minnesota Timberwolves,40,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Denver Nuggets,39,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Portland Trail Blazers,47,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Phoenix Suns,43,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Miami Heat,42,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Milwaukee Bucks,45,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Charlotte Hornets,42,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Detroit Pistons,37,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Washington Wizards,43,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
New York Knicks,41,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
San Antonio Spurs,45,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Utah Jazz,42,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Sacramento Kings,42,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Los Angeles Clippers,46,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
New Orleans Pelicans,44,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Atlanta Hawks,39,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Oklahoma City Thunder,47,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Dallas Mavericks,41,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Houston Rockets,41,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Golden State Warriors,47,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
all,1265,min_date - high - basic - post_all_star - 0 - 2 - 10 - 1 - 5 - False,NBA
Brooklyn Nets,40,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Los Angeles Lakers,47,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Cleveland Cavaliers,43,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Indiana Pacers,36,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Orlando Magic,39,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Philadelphia 76ers,40,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Toronto Raptors,41,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Boston Celtics,43,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Chicago Bulls,37,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Memphis Grizzlies,44,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Minnesota Timberwolves,40,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Denver Nuggets,39,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Portland Trail Blazers,47,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Phoenix Suns,43,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Miami Heat,42,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Milwaukee Bucks,45,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Charlotte Hornets,40,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Detroit Pistons,35,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Washington Wizards,43,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
New York Knicks,41,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
San Antonio Spurs,45,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Utah Jazz,42,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Sacramento Kings,42,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Los Angeles Clippers,46,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
New Orleans Pelicans,44,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Atlanta Hawks,39,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Oklahoma City Thunder,47,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Dallas Mavericks,39,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Houston Rockets,41,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Golden State Warriors,47,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
all,1257,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 5 - False,NBA
Brooklyn Nets,42,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Los Angeles Lakers,47,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Cleveland Cavaliers,42,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Indiana Pacers,36,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Orlando Magic,39,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Philadelphia 76ers,40,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Toronto Raptors,41,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Boston Celtics,43,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Chicago Bulls,37,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Memphis Grizzlies,40,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Minnesota Timberwolves,38,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Denver Nuggets,39,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Portland Trail Blazers,47,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
Phoenix Suns,43,min_date - high - basic - post_all_star - 3 - 2 - 10 - 0 - 10 - False,NBA
